policy_step,candidate_count,oldest_weight,newest_weight
118,50,0.025288288646746752,0.01549227308875117
119,50,0.025288288646746752,0.01549227308875117
120,50,0.025288288646746752,0.01549227308875117
121,50,0.025288288646746752,0.01549227308875117
122,50,0.025288288646746752,0.01549227308875117
123,50,0.025288288646746752,0.01549227308875117
124,50,0.025288288646746752,0.01549227308875117
125,50,0.025288288646746752,0.01549227308875117
126,50,0.025288288646746752,0.01549227308875117
127,50,0.025288288646746752,0.01549227308875117
128,50,0.025288288646746752,0.01549227308875117
129,50,0.025288288646746752,0.01549227308875117
130,50,0.025288288646746752,0.01549227308875117
131,50,0.025288288646746752,0.01549227308875117
132,50,0.025288288646746752,0.01549227308875117
133,50,0.025288288646746752,0.01549227308875117
134,50,0.025288288646746752,0.01549227308875117
135,50,0.025288288646746752,0.01549227308875117
136,50,0.025288288646746752,0.01549227308875117
137,50,0.025288288646746752,0.01549227308875117
138,50,0.025288288646746752,0.01549227308875117
139,50,0.025288288646746752,0.01549227308875117
140,50,0.025288288646746752,0.01549227308875117
141,50,0.025288288646746752,0.01549227308875117
142,50,0.025288288646746752,0.01549227308875117
143,50,0.025288288646746752,0.01549227308875117
144,50,0.025288288646746752,0.01549227308875117
